Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change
46,Female,High School,Widowed,116346,767,24934,Personal,Unemployed,8,Excellent,0.1396937487880007,,0,Lewisville,IN,France,1,2
23,Non-binary,Bachelor's,Widowed,,671,13389,Personal,Self-employed,9,Fair,0.1519768668732774,298860,2,Port Jonathanside,PW,Russian Federation,1,2
65,Male,PhD,Married,,798,22031,Personal,Employed,8,Poor,0.15262665294828595,111574,,Port Jennifermouth,WY,Saint Barthelemy,,0
19,Non-binary,PhD,Single,70998,784,40894,Personal,Self-employed,5,Poor,0.22608143244531007,108836,4,Craneborough,WV,Northern Mariana Islands,1,1
30,Non-binary,High School,Divorced,63007,672,30973,Business,Employed,5,Excellent,0.36881055381611094,,0,North Jaredville,AK,Burundi,3,2
61,Non-binary,High School,Married,48247,745,32341,Auto,Unemployed,9,Poor,0.5958080360097091,154402,0,Port Danielberg,HI,Micronesia,1,2
43,Non-binary,Master's,Single,77940,770,29333,Home,Self-employed,13,Good,0.2968642850601183,125554,1,Hayleyshire,HI,Tonga,0,1
50,Male,Bachelor's,Widowed,43135,775,,Business,Employed,13,Excellent,0.5856881110578823,241936,2,Austinville,KY,Haiti,,2
22,Female,PhD,Married,63095,675,,Business,Unemployed,16,Fair,0.582005041,207228,4,Jordanville,KY,Liechtenstein,,2
26,Non-binary,High School,Widowed,99606,,,Personal,Unemployed,5,Poor,0.25218254043886745,135033,4,Greeneshire,FM,Afghanistan,4,1
54,Male,High School,Single,39504,689,10062,Home,Employed,13,Good,0.5740878075412508,37110,4,South Reginachester,NV,Andorra,4,2
42,Non-binary,PhD,Divorced,,,,Personal,Self-employed,18,Good,0.3208152504248112,,0,Chelseaton,PA,Brunei Darussalam,3,2
60,Female,PhD,Single,40439,636,,Business,Employed,16,Poor,0.4866442864488406,196625,4,West Katherineton,NC,Monaco,3,1
26,Male,Master's,Widowed,56656,660,39226,Personal,Employed,10,Excellent,0.5334263287585165,76762,1,New Sarah,PW,Syrian Arab Republic,2,0
28,Non-binary,Bachelor's,Married,96190,755,32809,Home,Employed,11,Good,0.16645967735516795,89583,1,Foleyburgh,VA,Congo,4,0
37,Non-binary,High School,Widowed,106479,738,33055,Business,Self-employed,4,Poor,0.16664519047094886,204299,,Rosston,MI,Azerbaijan,,2
56,Female,Bachelor's,Married,65797,735,16545,Personal,Employed,14,Poor,0.2657738585076602,,3,North Derektown,NC,Northern Mariana Islands,3,0
59,Non-binary,Master's,Single,108713,702,32577,Home,Self-employed,7,Good,0.5271009465366333,60231,2,Wolfmouth,ID,Costa Rica,4,0
40,Female,PhD,Married,60426,720,40340,Business,Employed,9,Excellent,0.20292818916119323,145774,0,Josephview,CO,Montenegro,3,2
35,Male,High School,Single,119027,715,26402,Auto,Unemployed,11,Excellent,0.5538038667077183,68789,1,Lake Mark,CA,Algeria,0,1
28,Female,PhD,Single,77784,632,49247,Business,Self-employed,6,Fair,0.1721636457781042,38304,4,South Georgeview,KY,Svalbard & Jan Mayen Islands,0,0
23,Male,PhD,Widowed,44067,666,48945,Home,Unemployed,7,Excellent,0.3076629488139695,97306,1,Lake Jesse,MN,British Indian Ocean Territory (Chagos Archipelago),3,1
50,Male,Master's,Divorced,75103,,20350,Home,Employed,13,Excellent,0.10842050759796731,257178,3,Michelleberg,PA,Vanuatu,3,1
41,Male,Bachelor's,Widowed,91613,712,13899,Personal,Employed,14,Excellent,0.14759749156551424,,2,West Anne,VT,Puerto Rico,,2
39,Non-binary,High School,Widowed,,726,42494,Business,Employed,8,Excellent,0.3281569632445255,,2,Lake Alyssa,PA,British Virgin Islands,,2
35,Non-binary,High School,Divorced,73266,,,Business,Unemployed,10,Poor,0.2991240177518437,44455,0,New Philip,CA,Peru,0,2
58,Male,High School,Single,59909,764,8497,Home,Self-employed,11,Excellent,0.15428319682724975,242875,0,Samanthastad,MI,Mexico,2,0
56,Female,PhD,Single,82661,773,28057,Business,Unemployed,1,Good,0.41230747071131135,211913,0,South Reginafort,OH,Mauritania,4,1
43,Female,PhD,Single,54626,784,11867,Business,Unemployed,16,Good,0.5377643254664427,99497,4,Port Michelle,NE,Bermuda,0,2
29,Female,Bachelor's,Widowed,73426,684,48547,Business,Self-employed,17,Fair,0.3733724327225185,,3,Jillside,PR,Haiti,2,0
40,Non-binary,PhD,Single,106541,,47160,Business,Employed,13,Good,0.3577198754651394,144716,0,Mooretown,ME,Nepal,4,2
21,Female,Bachelor's,Single,63826,703,8679,Business,Unemployed,8,Good,0.258967298,298601,1,New Deannashire,VT,Palau,,2
50,Male,Master's,Widowed,107812,683,36171,Business,Unemployed,6,Excellent,0.4397053062155638,259520,3,Christopherchester,MT,Lesotho,2,2
40,Male,PhD,Widowed,,737,49604,Auto,Unemployed,6,Fair,0.5645326799969788,221120,3,Parkerport,DE,Iran,3,2
45,Male,High School,Widowed,112905,,35368,Home,Unemployed,18,Poor,0.30368126384410354,,3,West Richard,OH,Taiwan,4,2
57,Female,PhD,Single,22736,714,36004,Personal,Self-employed,5,Poor,0.24935363495841414,142545,0,Amberhaven,GU,Angola,,1
23,Non-binary,High School,Single,76473,684,16184,Personal,Employed,8,Excellent,0.28464367177633587,75261,0,Newmanborough,NY,Iceland,,2
60,Male,High School,Divorced,88019,613,29153,Auto,Unemployed,3,Good,0.1134333009591916,232055,0,Armstrongtown,WV,Ethiopia,4,2
62,Non-binary,Master's,Divorced,36217,755,6758,Business,Employed,6,Good,0.48023101925497524,206294,4,Cynthiafurt,WA,Niger,1,0
48,Non-binary,PhD,Married,89817,695,,Home,Unemployed,2,Excellent,0.4988359047489205,132394,2,Peggyton,PR,Japan,1,2
22,Male,Bachelor's,Single,63199,666,15827,Auto,Employed,2,Good,0.384004767,176311,0,Braunhaven,GA,Sierra Leone,1,0
61,Female,PhD,Single,102189,765,38418,Auto,Unemployed,17,Good,0.4717680382897729,183846,4,Michelleview,GA,Somalia,1,1
55,Non-binary,Master's,Divorced,39727,710,29757,Personal,Employed,16,Good,0.5741233103526625,63439,1,New Craig,MI,Cocos (Keeling) Islands,4,0
60,Non-binary,PhD,Widowed,71457,753,30657,Auto,Unemployed,1,Poor,0.5140079431130561,68412,2,New Heather,MA,Saint Martin,4,1
56,Female,High School,Widowed,72508,705,,Business,Employed,15,Fair,0.15033700391524427,62718,3,Jaimeberg,RI,China,1,0
61,Non-binary,High School,Single,102684,634,19182,Business,Employed,10,Excellent,0.4351034826534709,72540,0,North Jessicaside,VI,Algeria,2,0
19,Non-binary,Bachelor's,Divorced,46170,635,34394,Personal,Employed,11,Excellent,0.5425019964165423,110425,3,Williamport,IA,Estonia,0,0
23,Non-binary,High School,Divorced,50183,736,8893,Personal,Unemployed,1,Good,0.4921736976477471,59087,0,Cochranfort,CO,Italy,0,0
63,Non-binary,PhD,Single,21135,732,49014,Business,Employed,19,Good,0.4954626095356579,177327,2,North Jessica,AL,Vanuatu,1,2
38,Non-binary,Bachelor's,Divorced,106378,613,12229,Home,Employed,1,Good,0.12279999183326115,260176,,West Marcuschester,MS,China,3,2
43,Non-binary,PhD,Married,102990,771,,Business,Unemployed,19,Fair,0.28814873540045294,186969,3,Kevinview,NH,Niger,2,1
31,Non-binary,Master's,Single,61057,775,36454,Personal,Unemployed,10,Excellent,0.3089300880034641,58628,1,Lake Janice,TN,Sierra Leone,4,1
68,Non-binary,Bachelor's,Single,71986,670,36843,Personal,Self-employed,9,Good,0.44610911287862987,211943,0,Jodihaven,AS,Togo,0,0
32,Male,Master's,Divorced,48082,639,9937,Home,Unemployed,18,Excellent,0.343449067,297632,1,Lopezfurt,DC,Serbia,3,2
43,Male,High School,Married,117898,733,27737,Home,Self-employed,11,Excellent,0.34380872891673775,271268,3,Richardsland,ME,Saint Barthelemy,1,2
54,Non-binary,High School,Divorced,28083,638,31626,Personal,Unemployed,12,Poor,0.261662771,240980,4,Port Kathleenhaven,AL,Qatar,4,1
66,Non-binary,PhD,Married,54592,776,22994,Home,Self-employed,12,Fair,0.5352854151860312,152199,0,Curryhaven,NM,Mauritius,4,1
20,Male,Bachelor's,Divorced,48281,755,9518,Auto,Employed,10,Fair,0.15854580671392057,59184,3,North Johnnybury,NY,Djibouti,0,1
64,Female,Bachelor's,Widowed,68838,660,26275,Personal,Employed,6,Fair,0.34387545067015535,269138,,Michellefurt,FL,Uganda,0,1
39,Female,Master's,Divorced,31251,625,19833,Business,Unemployed,19,Fair,0.4975022195092599,169675,1,Lake Elizabethfort,FL,Sudan,2,0
29,Female,High School,Single,61201,620,33652,Business,Employed,6,Poor,0.516994507,244228,4,Lindachester,CT,France,0,2
36,Non-binary,High School,Married,71899,655,,Auto,Self-employed,15,Poor,0.16391882128823357,192098,4,Sheilabury,FM,Greece,0,0
24,Female,PhD,Widowed,62631,610,15738,Business,Unemployed,0,Excellent,0.1675772203640831,240332,1,South Rebeccaville,TX,Saint Lucia,4,0
45,Non-binary,PhD,Widowed,,,30823,Home,Unemployed,2,Poor,0.19759691615666006,250408,,Lake Kaylachester,KY,Cayman Islands,1,1
48,Non-binary,Master's,Married,71658,707,7839,Auto,Self-employed,9,Poor,0.2331829766285762,181511,1,Port Billy,TN,Andorra,2,0
68,Non-binary,PhD,Married,72357,705,7128,Home,Unemployed,9,Poor,0.4639356008836425,,1,Port Anitaton,MH,Ukraine,2,1
61,Female,High School,Widowed,24153,769,44606,Business,Unemployed,17,Fair,0.3645878813294605,271066,,West Jill,RI,Bahrain,3,1
64,Female,High School,Divorced,,763,35517,Home,Self-employed,16,Fair,0.1550832657223131,169657,4,Mcgeebury,UT,Ethiopia,0,1
24,Male,High School,Single,112345,765,5715,Business,Employed,15,Poor,0.5832986461454137,291385,4,Keithbury,OR,Bahamas,1,0
19,Male,High School,Married,78169,,37910,Personal,Self-employed,12,Poor,0.36801508025756646,57975,4,West Nicole,AL,Bolivia,2,1
54,Female,PhD,Single,111903,632,23691,Auto,Employed,2,Good,0.47044690166811676,188922,2,Port Tammy,GA,San Marino,0,2
58,Female,PhD,Widowed,98027,779,11580,Home,Self-employed,4,Good,0.36362222446805714,113784,2,South Lisa,AZ,Papua New Guinea,1,0
36,Male,PhD,Widowed,23657,,8945,Auto,Unemployed,3,Good,0.5724178007779422,177916,2,New Shellyshire,AK,Kyrgyz Republic,,0
34,Male,Bachelor's,Divorced,81455,,32623,Personal,Employed,15,Fair,0.24310711811523536,37783,0,Moonchester,MH,Bangladesh,3,1
55,Male,PhD,Divorced,33292,,39561,Home,Employed,19,Excellent,0.33278665289687104,,1,West Brianville,MP,Colombia,1,0
53,Non-binary,Bachelor's,Widowed,108890,,17915,Home,Self-employed,7,Good,0.2043285538859367,219289,3,Stewartland,IA,Jersey,4,1
31,Female,PhD,Single,106840,,37522,Home,Self-employed,12,Fair,0.4301262209091544,59811,4,Cunninghamside,PA,Moldova,4,0
53,Male,Master's,Divorced,119655,772,20173,Auto,Self-employed,12,Excellent,0.2016959838685933,195572,4,Conwaymouth,NM,Singapore,0,2
61,Female,Master's,Single,,773,,Auto,Self-employed,1,Fair,0.1277113415487238,289696,2,Grosshaven,PA,Myanmar,3,0
60,Female,Bachelor's,Married,,668,38923,Auto,Employed,5,Poor,0.4588458861309124,128178,2,Stephanieland,MD,Taiwan,4,0
34,Female,PhD,Divorced,,,16408,Home,Unemployed,17,Excellent,0.12210336408229036,135677,,Hendricksbury,NJ,Sierra Leone,0,0
18,Non-binary,Master's,Divorced,69862,793,46612,Auto,Employed,1,Poor,0.5678119181113854,284107,3,South Bryanside,NH,Malta,0,0
35,Female,High School,Single,29136,641,,Home,Self-employed,17,Fair,0.5083392132808527,74438,3,East Jamiechester,TN,Uzbekistan,3,0
45,Male,PhD,Single,98066,723,34120,Personal,Self-employed,18,Poor,0.5318257128473771,120055,1,South Lisaville,MS,Greenland,,1
28,Non-binary,Master's,Married,69282,733,,Auto,Unemployed,1,Good,0.3643487483897496,211084,,Laurenville,ID,Chad,0,2
25,Male,High School,Divorced,,710,38845,Auto,Employed,14,Excellent,0.13463578200854634,232815,3,Sallytown,UT,Montenegro,3,0
68,Female,Bachelor's,Single,68707,643,15951,Auto,Self-employed,12,Poor,0.31478934124046476,144979,,New Maria,ID,Ghana,3,1
55,Non-binary,Bachelor's,Divorced,83308,613,48426,Personal,Self-employed,12,Fair,0.3874277446256831,126894,3,Steelehaven,IL,Brunei Darussalam,0,1
40,Non-binary,PhD,Single,33079,707,13770,Home,Unemployed,6,Fair,0.4875253101160951,223038,4,Kellymouth,IL,Botswana,4,0
35,Non-binary,High School,Single,53948,,33959,Personal,Unemployed,7,Poor,0.3064492000153646,55840,0,Alexishaven,HI,China,3,2
47,Female,Master's,Married,,694,34281,Home,Self-employed,12,Poor,0.57309224,199243,3,East Meganville,NC,Malta,3,0
26,Male,PhD,Widowed,,767,31485,Business,Employed,16,Good,0.44763981754558646,69581,2,South Tamaraburgh,NM,Mayotte,4,2
68,Female,Bachelor's,Widowed,101171,746,33368,Home,Unemployed,0,Fair,0.3486051198525788,170018,2,West Glennburgh,VA,Japan,3,0
26,Female,PhD,Divorced,,,8159,Business,Employed,15,Poor,0.5231391272562927,278656,0,Hannahstad,NH,Bangladesh,4,0
33,Non-binary,High School,Divorced,,741,7319,Home,Unemployed,1,Poor,0.4174438651057908,238284,4,Port Haydenland,HI,Aruba,2,1
65,Male,Master's,Married,94130,617,32124,Home,Employed,2,Excellent,0.5633254858992144,,4,Jenniferport,ID,Uruguay,,0
22,Female,Bachelor's,Divorced,37986,704,27029,Business,Self-employed,17,Poor,0.10436970912430302,166714,0,Lindaview,OK,Kenya,2,0
32,Male,PhD,Divorced,,741,31291,Auto,Employed,12,Poor,0.18568434553528437,243900,4,Lake Tammyberg,MS,Jersey,4,2
35,Female,High School,Widowed,,783,16329,Auto,Employed,16,Poor,0.3502989054834942,244487,2,South Michelleton,PR,Uzbekistan,,2
61,Male,High School,Divorced,66612,686,45583,Personal,Employed,7,Excellent,0.11125727980459602,32208,2,Tonyaton,AL,Niue,4,0
22,Non-binary,High School,Single,54296,688,18432,Personal,Employed,18,Good,0.13412881679990743,145527,1,Martinezmouth,IA,Poland,1,0
18,Female,High School,Divorced,,,14515,Business,Unemployed,1,Excellent,0.2961138340758297,41906,1,East Carolynburgh,LA,Canada,,0
32,Female,Master's,Widowed,52799,791,16677,Auto,Unemployed,11,Poor,0.22738190251703574,,4,Craneland,AZ,Portugal,,1
23,Female,Master's,Widowed,89563,722,6331,Home,Employed,17,Good,0.14954057855754863,65227,0,Gloverstad,DE,Zambia,3,0
46,Female,Bachelor's,Divorced,40407,,16957,Home,Unemployed,5,Good,0.3179692389122972,273704,2,North Perryland,HI,Haiti,1,0
59,Female,Bachelor's,Widowed,118994,636,17254,Auto,Self-employed,13,Good,0.4632043082070394,120646,2,West Crystal,ID,Trinidad and Tobago,4,0
65,Female,PhD,Married,94289,746,41806,Business,Unemployed,9,Good,0.4884333284509057,110057,2,West Tylermouth,MD,Georgia,4,0
43,Male,Master's,Widowed,33706,700,21272,Auto,Unemployed,15,Good,0.4845840754494991,25596,4,Lake Janefort,OR,Belarus,2,1
67,Non-binary,Bachelor's,Single,57190,,,Home,Self-employed,16,Fair,0.43470060576468117,191626,,Kerrishire,MP,Sierra Leone,2,1
62,Non-binary,Bachelor's,Divorced,43237,698,9165,Business,Employed,17,Excellent,0.1611319888319446,162761,1,Martinezhaven,NE,Guernsey,3,1
61,Male,Master's,Widowed,77924,,,Auto,Employed,8,Good,0.2838101399453308,25738,4,South Ruthberg,VI,Guam,2,1
28,Non-binary,Master's,Single,,666,9819,Personal,Employed,5,Good,0.3110905973202298,222379,2,Kevinside,MS,French Guiana,0,1
52,Non-binary,Bachelor's,Married,113885,758,45431,Home,Employed,2,Excellent,0.41827161454925743,65753,2,Jamesmouth,NY,Colombia,3,2
69,Non-binary,Bachelor's,Single,,720,29432,Auto,Self-employed,10,Poor,0.19135884103987652,254084,2,Port Patrick,SC,Timor-Leste,1,2
37,Female,High School,Married,,728,9985,Business,Unemployed,10,Fair,0.3686791676972483,126741,4,Daniellebury,VT,Hong Kong,2,1
24,Female,Bachelor's,Single,41162,646,47191,Home,Unemployed,0,Excellent,0.41839401145614874,116129,1,Williamchester,UT,Ethiopia,,2
65,Male,High School,Widowed,63401,635,40030,Personal,Employed,4,Poor,0.48803985962213803,200753,2,Jamesview,SC,Grenada,2,2
55,Female,Master's,Married,30384,,14766,Personal,Employed,8,Poor,0.17790895372022678,,1,South Mollyhaven,OK,Czech Republic,,2
57,Non-binary,High School,Widowed,108148,633,23508,Home,Unemployed,8,Fair,0.2026470155348857,259766,2,Samuelton,ME,Pakistan,0,1
47,Female,PhD,Married,74911,664,,Auto,Self-employed,17,Good,0.11506736494585626,168268,2,Jamieberg,CT,Slovakia (Slovak Republic),3,0
26,Male,PhD,Widowed,,651,,Personal,Employed,14,Poor,0.3164271990276456,156321,3,West Aaron,KS,Samoa,0,0
28,Male,PhD,Single,,772,43187,Business,Employed,16,Excellent,0.45410688241423913,171389,3,Riosmouth,AZ,Benin,3,1
38,Male,Master's,Married,,,30929,Auto,Self-employed,1,Excellent,0.20851904153980397,287533,1,Thomasberg,NV,Falkland Islands (Malvinas),4,2
64,Female,Bachelor's,Divorced,103967,668,8513,Business,Employed,1,Excellent,0.38608834750648935,139932,2,Lake Jamie,DC,United Arab Emirates,1,2
33,Non-binary,PhD,Divorced,116969,694,5465,Personal,Employed,2,Poor,0.13807818090561727,155501,1,Garciafort,KY,Guernsey,,0
44,Non-binary,Bachelor's,Single,,625,16304,Auto,Self-employed,19,Poor,0.21959419363403523,135256,3,Natashaview,NE,Thailand,3,0
19,Male,High School,Divorced,24163,753,14362,Auto,Employed,19,Excellent,0.2993660418122389,116590,0,West Michelleville,CO,Latvia,4,1
51,Male,Master's,Married,59913,793,46664,Business,Employed,11,Excellent,0.3791264924337794,,4,South Laura,CO,San Marino,4,1
44,Female,High School,Married,78906,657,29796,Auto,Unemployed,4,Fair,0.16816958364322773,149758,0,New Joseph,IL,Pitcairn Islands,,0
20,Male,Bachelor's,Divorced,81742,645,7162,Personal,Self-employed,6,Good,0.5468044429256165,,1,Port Caseyburgh,OK,Christmas Island,2,0
61,Non-binary,Bachelor's,Married,111434,,16736,Personal,Unemployed,0,Good,0.26945951779627486,113304,,Maryberg,TX,Bosnia and Herzegovina,3,0
23,Non-binary,Bachelor's,Divorced,44660,688,19474,Home,Unemployed,14,Excellent,0.12973342431094317,290916,2,Donaldsonfurt,MA,Tuvalu,4,0
37,Male,Bachelor's,Widowed,44806,756,5565,Auto,Self-employed,1,Good,0.18358353053428147,40603,4,East Anneshire,MD,Trinidad and Tobago,,0
36,Non-binary,Master's,Divorced,105523,664,23710,Personal,Employed,13,Good,0.4155737047088992,91365,0,Port Carrie,OK,Brazil,,1
44,Female,PhD,Divorced,,778,47342,Auto,Self-employed,16,Excellent,0.3527045142717883,226002,3,North Scottside,NE,Czech Republic,3,2
34,Female,PhD,Divorced,105807,730,26131,Personal,Unemployed,13,Good,0.19239618110172554,202969,2,Port Sarah,CT,Israel,,2
57,Female,Master's,Single,92043,609,9274,Home,Unemployed,10,Good,0.13387432304974065,104422,3,Jonesfurt,DE,Uruguay,0,0
54,Male,Master's,Married,87381,617,12611,Personal,Employed,17,Poor,0.4704075209594488,241773,2,Fosterstad,MD,Sweden,0,2
23,Male,Master's,Single,107938,630,,Business,Unemployed,16,Excellent,0.27829219251779636,239088,3,Johnsonfurt,PR,Germany,1,0
63,Female,High School,Widowed,44791,720,,Auto,Self-employed,9,Good,0.1105914486269107,201162,4,Lake Kelly,VA,Luxembourg,4,0
19,Male,Bachelor's,Single,29496,,44766,Business,Employed,3,Excellent,0.29326428589255493,189989,1,Jakemouth,WY,Cote d'Ivoire,3,2
43,Non-binary,PhD,Married,61132,700,5654,Home,Employed,18,Poor,0.3364429649084245,246098,0,Jasonland,NJ,Guyana,1,0
31,Female,Bachelor's,Single,42161,714,,Home,Employed,7,Fair,0.2968870652075646,72775,1,Tammybury,DC,Saudi Arabia,,1
50,Male,Master's,Divorced,118833,750,12087,Home,Unemployed,0,Poor,0.40447132331793867,115796,,Williamsburgh,WY,Niger,3,0
43,Male,High School,Married,91826,,,Business,Employed,6,Poor,0.27505151329694977,185558,3,Reneebury,VI,Gabon,,2
27,Male,High School,Married,,786,12531,Personal,Employed,18,Excellent,0.14512728309434456,104280,2,East Christopher,CA,Gibraltar,0,0
22,Non-binary,High School,Single,102299,,29983,Home,Self-employed,1,Good,0.18559097971885327,87603,1,North Chad,TN,Germany,1,0
19,Male,Master's,Divorced,56726,665,7275,Business,Employed,18,Good,0.13382556564030487,36002,4,Jeffview,NE,Panama,,2
21,Male,High School,Married,105381,631,49073,Home,Employed,3,Good,0.48304020539086356,294640,0,Perryport,ME,Cambodia,2,2
23,Female,High School,Single,33133,613,29616,Personal,Unemployed,18,Excellent,0.3064512740932549,,1,West Staceyberg,WA,Papua New Guinea,0,1
41,Female,High School,Divorced,,657,29662,Personal,Unemployed,16,Good,0.5210132800876147,128615,4,North Jonathan,WY,Svalbard & Jan Mayen Islands,0,1
52,Male,PhD,Married,33065,634,48272,Home,Self-employed,13,Fair,0.3652781663892902,129573,2,Jeanhaven,MT,United States Minor Outlying Islands,1,1
41,Non-binary,High School,Single,59979,689,,Auto,Employed,0,Good,0.38242722802040907,97011,3,South Miranda,OH,Tokelau,0,0
55,Female,High School,Married,26800,731,46575,Home,Self-employed,17,Fair,0.2735359818077765,170870,4,North Ryan,TN,Iran,1,0
61,Non-binary,PhD,Widowed,21620,760,21882,Auto,Self-employed,7,Fair,0.2227332031637089,121171,4,Cassandrachester,WV,Djibouti,0,1
26,Male,High School,Married,39307,631,42994,Auto,Unemployed,19,Excellent,0.2391185898460195,143189,4,South Adam,DC,Portugal,2,2
48,Male,High School,Widowed,115001,652,25286,Personal,Unemployed,7,Excellent,0.3659665760544737,63368,1,Wardton,UT,China,2,0
66,Female,Bachelor's,Single,105641,768,35759,Auto,Employed,4,Poor,0.45721682806809816,290309,4,Port Paul,SD,Saint Helena,2,2
34,Female,High School,Married,,716,,Personal,Unemployed,5,Poor,0.4949739666336751,64176,0,West Jennifer,OK,Saudi Arabia,3,1
48,Male,Master's,Married,,,,Auto,Employed,2,Poor,0.3894556088339244,33992,2,Johnton,VA,Iran,1,1
18,Non-binary,Master's,Single,32501,789,28289,Personal,Unemployed,4,Poor,0.203914338,251867,2,Turnerchester,ID,Qatar,1,1
25,Non-binary,Bachelor's,Widowed,78639,707,13554,Personal,Employed,17,Excellent,0.17760679614099814,271003,1,Port Theresaville,PW,Nauru,3,1
45,Non-binary,Bachelor's,Divorced,93967,712,19887,Business,Self-employed,6,Good,0.5910261747063597,,2,Anthonyborough,MH,Dominican Republic,1,1
54,Male,Bachelor's,Widowed,,771,5740,Home,Unemployed,16,Excellent,0.4972633864991858,229756,3,Johnberg,MP,Kyrgyz Republic,3,2
31,Female,Bachelor's,Married,60821,600,6571,Auto,Self-employed,15,Good,0.3584753813127457,56937,1,Port Keith,VT,Sweden,0,0
39,Male,Bachelor's,Divorced,46038,610,,Business,Unemployed,15,Fair,0.32232476890641293,94914,0,Debbiehaven,NM,Lesotho,2,2
28,Non-binary,Master's,Married,82110,768,,Business,Self-employed,13,Excellent,0.35038178688563293,265876,,South Michaelmouth,WY,Senegal,4,1
40,Non-binary,Bachelor's,Single,73516,,39091,Home,Unemployed,18,Excellent,0.4135617074350255,23746,4,Kleinbury,TN,Cape Verde,0,0
18,Male,Master's,Divorced,103003,775,,Home,Employed,4,Fair,0.5138381774808222,,4,Cummingsside,LA,Bolivia,4,2
57,Male,PhD,Divorced,,629,31730,Auto,Employed,19,Good,0.20451958914325238,,0,Higginsshire,PA,Switzerland,4,2
36,Female,High School,Single,36108,654,47629,Personal,Employed,10,Excellent,0.5493945618061649,159077,2,South Gregory,MP,Albania,0,1
29,Female,Master's,Widowed,,768,28318,Home,Self-employed,0,Poor,0.567393303,223966,3,East Jordanbury,MP,Cape Verde,,0
64,Female,Master's,Divorced,45832,710,,Personal,Self-employed,6,Fair,0.41954827175929443,24836,0,Michelleburgh,OK,French Southern Territories,3,1
55,Male,PhD,Widowed,105312,622,42011,Personal,Unemployed,18,Poor,0.34149772206374696,191572,0,South Crystalfort,DC,Lao People's Democratic Republic,,0
45,Non-binary,PhD,Divorced,97755,714,47459,Business,Unemployed,4,Good,0.19504667421032526,263004,1,Flemingbury,OK,Northern Mariana Islands,0,1
58,Non-binary,Bachelor's,Divorced,72890,729,44683,Personal,Self-employed,15,Good,0.20513937037068067,43986,0,Munozmouth,AK,Mali,0,1
30,Non-binary,High School,Divorced,38268,784,18878,Home,Self-employed,11,Poor,0.5263597285654573,150597,,Adamsport,WV,Christmas Island,1,1
61,Non-binary,Master's,Divorced,56527,603,45719,Auto,Employed,1,Poor,0.10751603446735411,,2,West Krista,LA,Faroe Islands,3,2
25,Female,PhD,Widowed,115773,675,,Personal,Self-employed,19,Fair,0.38964950637306994,106602,4,Lake Brian,TX,Cote d'Ivoire,3,1
45,Male,PhD,Married,,626,49881,Personal,Employed,6,Fair,0.27403248162255045,55380,3,South Rhondafort,MT,Kyrgyz Republic,2,1
50,Male,PhD,Single,89926,,44876,Home,Unemployed,4,Excellent,0.5284008362869657,89374,3,South Walter,DC,Montenegro,1,2
57,Female,High School,Divorced,34987,677,7301,Personal,Employed,12,Poor,0.3934037471448524,160851,4,Navarroburgh,MH,Saint Vincent and the Grenadines,2,2
57,Male,PhD,Widowed,90030,690,43194,Business,Employed,12,Good,0.44459335620996976,124972,0,Priceview,TN,North Macedonia,0,0
22,Male,Bachelor's,Widowed,72249,697,6492,Personal,Employed,4,Excellent,0.2925392265557105,,3,Robertsonchester,HI,Guam,0,0
68,Female,PhD,Single,,602,,Personal,Employed,1,Excellent,0.4261908437614189,74448,3,Juanville,LA,Georgia,1,0
25,Female,High School,Single,29179,691,16771,Personal,Self-employed,2,Excellent,0.5869172507055547,,3,Matthewsport,NM,Mozambique,3,1
59,Non-binary,Bachelor's,Married,102168,790,13869,Home,Employed,0,Poor,0.5836777786637584,166313,3,East Nathanhaven,MT,Tokelau,1,0
34,Male,Bachelor's,Divorced,117686,701,30563,Personal,Self-employed,17,Good,0.5852123339250735,66595,4,New Josephshire,IA,Turkey,1,1
18,Female,High School,Single,108602,799,5332,Auto,Employed,11,Poor,0.18685568665373456,76312,3,East Maria,LA,Grenada,4,2
41,Female,PhD,Married,97318,769,7002,Personal,Employed,4,Poor,0.23888565058303216,,3,Markside,WY,Chile,1,2
25,Non-binary,Bachelor's,Married,,770,,Personal,Employed,8,Poor,0.42346558979948123,245428,,East Derek,VI,Montserrat,,0
45,Male,Bachelor's,Single,42555,680,34695,Home,Employed,4,Excellent,0.4540456,,,Mccoyview,VI,Montenegro,2,0
39,Male,Bachelor's,Married,112222,737,33130,Home,Employed,11,Excellent,0.42585860475773263,245334,,East Oscar,ID,Azerbaijan,4,1
68,Female,Master's,Divorced,23346,600,,Personal,Self-employed,0,Fair,0.5895751866256372,,,North Rebecca,IA,Oman,1,2
23,Female,Master's,Divorced,116669,782,28263,Auto,Employed,14,Excellent,0.3570189499360171,288793,,Martinezfurt,NE,Niue,,1
22,Female,Bachelor's,Divorced,50268,764,19040,Business,Unemployed,19,Poor,0.5977373638237458,124363,0,Juliebury,DE,San Marino,,1
64,Non-binary,High School,Divorced,80044,706,8392,Auto,Self-employed,6,Poor,0.5065143393947066,187417,4,Paulashire,KS,British Virgin Islands,2,0
